,Team_1,Team_2,Winner,Winner_Pred,Margin,Run_Margin_pred,Wick_Margin_pred,Year
116,England,Sri Lanka,Sri Lanka,Sri Lanka,69 Runs,53 Runs,7 Wickets,2011
117,England,Sri Lanka,Sri Lanka,Sri Lanka,6 Wickets,53 Runs,7 Wickets,2011
118,England,Sri Lanka,England,Sri Lanka,10 Wickets,64 Runs,7 Wickets,2011
119,England,Sri Lanka,England,Sri Lanka,16 Runs,64 Runs,7 Wickets,2011
120,Sri Lanka,Australia,Australia,Australia,7 Wickets,49 Runs,6 Wickets,2011
121,Sri Lanka,Australia,Australia,Australia,8 Wickets,49 Runs,6 Wickets,2011
122,Sri Lanka,Australia,Sri Lanka,Australia,78 Runs,53 Runs,6 Wickets,2011
123,Sri Lanka,Australia,Australia,Australia,5 Wickets,49 Runs,6 Wickets,2011
124,Sri Lanka,Australia,Sri Lanka,Australia,4 Wickets,53 Runs,6 Wickets,2011
125,England,India,England,England,7 Wickets,55 Runs,6 Wickets,2011
126,England,India,England,England,3 Wickets,55 Runs,6 Wickets,2011
127,England,India,England,England,6 Wickets,55 Runs,6 Wickets,2011
128,India,England,India,India,126 Runs,61 Runs,6 Wickets,2011
129,India,England,India,India,8 Wickets,61 Runs,6 Wickets,2011
130,South Africa,Australia,Australia,South Africa,93 Runs,65 Runs,4 Wickets,2011
131,India,England,India,India,5 Wickets,61 Runs,6 Wickets,2011
132,India,England,India,India,6 Wickets,61 Runs,6 Wickets,2011
133,South Africa,Australia,South Africa,South Africa,80 Runs,67 Runs,5 Wickets,2011
134,India,England,India,India,95 Runs,61 Runs,6 Wickets,2011
135,South Africa,Australia,Australia,South Africa,3 Wickets,65 Runs,4 Wickets,2011
136,Pakistan,Sri Lanka,Pakistan,Pakistan,8 Wickets,41 Runs,5 Wickets,2011
137,Pakistan,Sri Lanka,Sri Lanka,Pakistan,25 Runs,31 Runs,4 Wickets,2011
138,Pakistan,Sri Lanka,Pakistan,Pakistan,21 Runs,41 Runs,5 Wickets,2011
139,Pakistan,Sri Lanka,Pakistan,Pakistan,26 Runs,41 Runs,5 Wickets,2011
140,Pakistan,Sri Lanka,Pakistan,Pakistan,3 Wickets,41 Runs,5 Wickets,2011
141,Bangladesh,Pakistan,Pakistan,Pakistan,5 Wickets,59 Runs,5 Wickets,2011
142,Bangladesh,Pakistan,Pakistan,Pakistan,76 Runs,59 Runs,5 Wickets,2011
143,Bangladesh,Pakistan,Pakistan,Pakistan,58 Runs,59 Runs,5 Wickets,2011
144,South Africa,Sri Lanka,South Africa,South Africa,258 Runs,51 Runs,6 Wickets,2012
145,South Africa,Sri Lanka,South Africa,South Africa,5 Wickets,51 Runs,6 Wickets,2012
146,South Africa,Sri Lanka,South Africa,South Africa,4 Runs,51 Runs,6 Wickets,2012
147,South Africa,Sri Lanka,Sri Lanka,South Africa,5 Wickets,43 Runs,6 Wickets,2012
148,South Africa,Sri Lanka,Sri Lanka,South Africa,2 Wickets,43 Runs,6 Wickets,2012
149,Australia,India,Australia,Australia,65 Runs,62 Runs,5 Wickets,2012
150,India,Sri Lanka,India,India,4 Wickets,85 Runs,5 Wickets,2012
151,Australia,Sri Lanka,Australia,Sri Lanka,5 Runs,35 Runs,6 Wickets,2012
152,Afghanistan,Pakistan,Pakistan,Pakistan,7 Wickets,53 Runs,5 Wickets,2012
153,Australia,India,India,Australia,4 Wickets,49 Runs,5 Wickets,2012
154,England,Pakistan,England,England,130 Runs,55 Runs,5 Wickets,2012
155,England,Pakistan,England,England,20 Runs,55 Runs,5 Wickets,2012
156,Australia,Sri Lanka,Sri Lanka,Sri Lanka,8 Wickets,19 Runs,6 Wickets,2012
157,England,Pakistan,England,England,9 Wickets,55 Runs,5 Wickets,2012
158,Australia,India,Australia,Australia,110 Runs,62 Runs,5 Wickets,2012
159,India,Sri Lanka,Sri Lanka,India,51 Runs,79 Runs,5 Wickets,2012
160,England,Pakistan,England,England,4 Wickets,55 Runs,5 Wickets,2012
161,Australia,Sri Lanka,Sri Lanka,Sri Lanka,3 Wickets,19 Runs,6 Wickets,2012
162,New Zealand,South Africa,South Africa,South Africa,6 Wickets,50 Runs,5 Wickets,2012
163,Australia,India,Australia,Australia,87 Runs,62 Runs,5 Wickets,2012
164,India,Sri Lanka,India,India,7 Wickets,85 Runs,5 Wickets,2012
165,New Zealand,South Africa,South Africa,South Africa,6 Wickets,50 Runs,5 Wickets,2012
166,Australia,Sri Lanka,Sri Lanka,Sri Lanka,9 Runs,19 Runs,6 Wickets,2012
167,New Zealand,South Africa,South Africa,South Africa,5 Wickets,50 Runs,5 Wickets,2012
168,Australia,Sri Lanka,Australia,Sri Lanka,15 Runs,35 Runs,6 Wickets,2012
169,Australia,Sri Lanka,Sri Lanka,Sri Lanka,8 Wickets,19 Runs,6 Wickets,2012
170,Australia,Sri Lanka,Australia,Sri Lanka,16 Runs,35 Runs,6 Wickets,2012
171,Bangladesh,Pakistan,Pakistan,Pakistan,21 Runs,53 Runs,5 Wickets,2012
172,India,Sri Lanka,India,India,50 Runs,85 Runs,5 Wickets,2012
173,Pakistan,Sri Lanka,Pakistan,Pakistan,6 Wickets,39 Runs,5 Wickets,2012
174,Bangladesh,India,Bangladesh,India,5 Wickets,52 Runs,6 Wickets,2012
175,India,Pakistan,India,India,6 Wickets,49 Runs,6 Wickets,2012
176,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,5 Wickets,68 Runs,6 Wickets,2012
177,Bangladesh,Pakistan,Pakistan,Pakistan,2 Runs,53 Runs,5 Wickets,2012
178,Afghanistan,Netherlands,Netherlands,Afghanistan,9 Wickets,51 Runs,7 Wickets,2012
179,Afghanistan,Netherlands,Afghanistan,Afghanistan,5 Wickets,51 Runs,7 Wickets,2012
180,Sri Lanka,Pakistan,Pakistan,Sri Lanka,6 Wickets,45 Runs,5 Wickets,2012
181,Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,76 Runs,53 Runs,5 Wickets,2012
182,Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,44 Runs,53 Runs,5 Wickets,2012
183,Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,2 Wickets,53 Runs,5 Wickets,2012
184,England,Australia,England,England,15 Runs,56 Runs,5 Wickets,2012
185,England,Australia,England,England,6 Wickets,56 Runs,5 Wickets,2012
186,England,Australia,England,England,8 Wickets,56 Runs,5 Wickets,2012
187,England,Australia,England,England,7 Wickets,56 Runs,5 Wickets,2012
188,Sri Lanka,India,India,India,21 Runs,63 Runs,7 Wickets,2012
189,Sri Lanka,India,Sri Lanka,India,9 Wickets,60 Runs,7 Wickets,2012
190,Sri Lanka,India,India,India,5 Wickets,63 Runs,7 Wickets,2012
191,Sri Lanka,India,India,India,6 Wickets,63 Runs,7 Wickets,2012
192,Sri Lanka,India,India,India,20 Runs,63 Runs,7 Wickets,2012
193,Afghanistan,Australia,Australia,Australia,66 Runs,49 Runs,7 Wickets,2012
194,England,South Africa,South Africa,England,80 Runs,57 Runs,6 Wickets,2012
195,Australia,Pakistan,Australia,Australia,4 Wickets,54 Runs,5 Wickets,2012
196,England,South Africa,England,England,4 Wickets,52 Runs,6 Wickets,2012
197,Australia,Pakistan,Pakistan,Australia,7 Wickets,47 Runs,5 Wickets,2012
198,England,South Africa,England,England,6 Wickets,52 Runs,6 Wickets,2012
199,Australia,Pakistan,Australia,Australia,3 Wickets,54 Runs,5 Wickets,2012
200,England,South Africa,South Africa,England,7 Wickets,57 Runs,6 Wickets,2012
201,Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,14 Runs,33 Runs,5 Wickets,2012
202,Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,7 Wickets,33 Runs,5 Wickets,2012
203,Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,7 Wickets,33 Runs,5 Wickets,2012
204,India,Pakistan,Pakistan,India,6 Wickets,53 Runs,6 Wickets,2012
205,India,Pakistan,Pakistan,India,85 Runs,55 Runs,6 Wickets,2013
206,India,Pakistan,India,India,10 Runs,51 Runs,6 Wickets,2013
207,Australia,Sri Lanka,Australia,Sri Lanka,107 Runs,42 Runs,6 Wickets,2013
208,India,England,England,India,9 Runs,38 Runs,6 Wickets,2013
209,Australia,Sri Lanka,Sri Lanka,Sri Lanka,8 Wickets,26 Runs,6 Wickets,2013
210,India,England,India,India,127 Runs,60 Runs,6 Wickets,2013
211,Australia,Sri Lanka,Sri Lanka,Sri Lanka,4 Wickets,26 Runs,6 Wickets,2013
212,India,England,India,India,7 Wickets,60 Runs,6 Wickets,2013
213,South Africa,New Zealand,New Zealand,New Zealand,1 Runs,17 Runs,5 Wickets,2013
214,South Africa,New Zealand,New Zealand,New Zealand,27 Runs,17 Runs,5 Wickets,2013
215,Australia,Sri Lanka,Australia,Sri Lanka,32 Runs,42 Runs,6 Wickets,2013
216,India,England,India,India,5 Wickets,60 Runs,6 Wickets,2013
217,South Africa,New Zealand,South Africa,New Zealand,1 Runs,22 Runs,5 Wickets,2013
218,India,England,England,India,7 Wickets,38 Runs,6 Wickets,2013
219,New Zealand,England,New Zealand,England,3 Wickets,39 Runs,5 Wickets,2013
220,New Zealand,England,England,England,8 Wickets,32 Runs,6 Wickets,2013
221,New Zealand,England,England,England,5 Wickets,32 Runs,6 Wickets,2013
222,South Africa,Pakistan,South Africa,South Africa,125 Runs,38 Runs,5 Wickets,2013
223,South Africa,Pakistan,Pakistan,South Africa,6 Wickets,31 Runs,5 Wickets,2013
224,South Africa,Pakistan,South Africa,South Africa,34 Runs,38 Runs,5 Wickets,2013
225,South Africa,Pakistan,Pakistan,South Africa,3 Wickets,31 Runs,5 Wickets,2013
226,Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,8 Wickets,79 Runs,7 Wickets,2013
227,South Africa,Pakistan,South Africa,South Africa,6 Wickets,38 Runs,5 Wickets,2013
228,Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,3 Wickets,79 Runs,7 Wickets,2013
229,Netherlands,South Africa,South Africa,South Africa,83 Runs,91 Runs,7 Wickets,2013
230,England,New Zealand,New Zealand,New Zealand,5 Wickets,43 Runs,5 Wickets,2013
231,England,New Zealand,New Zealand,New Zealand,86 Runs,43 Runs,5 Wickets,2013
232,England,New Zealand,England,New Zealand,34 Runs,53 Runs,5 Wickets,2013
233,India,South Africa,India,India,26 Runs,62 Runs,6 Wickets,2013
234,England,Australia,England,England,48 Runs,56 Runs,5 Wickets,2013
235,New Zealand,Sri Lanka,New Zealand,New Zealand,1 Runs,59 Runs,6 Wickets,2013
236,Pakistan,South Africa,South Africa,South Africa,67 Runs,43 Runs,6 Wickets,2013
237,England,Sri Lanka,Sri Lanka,Sri Lanka,7 Wickets,54 Runs,7 Wickets,2013
238,India,Pakistan,India,India,8 Wickets,51 Runs,6 Wickets,2013
239,England,New Zealand,England,New Zealand,10 Runs,53 Runs,5 Wickets,2013
240,Australia,Sri Lanka,Sri Lanka,Sri Lanka,20 Runs,26 Runs,6 Wickets,2013
241,England,South Africa,England,South Africa,7 Wickets,53 Runs,6 Wickets,2013
242,India,Sri Lanka,India,India,8 Wickets,92 Runs,6 Wickets,2013
243,England,India,India,India,5 Runs,54 Runs,7 Wickets,2013
244,India,Sri Lanka,Sri Lanka,India,161 Runs,86 Runs,5 Wickets,2013
245,India,Sri Lanka,India,India,81 Runs,92 Runs,6 Wickets,2013
246,India,Sri Lanka,India,India,1 Runs,92 Runs,6 Wickets,2013
247,Sri Lanka,South Africa,Sri Lanka,Sri Lanka,180 Runs,73 Runs,7 Wickets,2013
248,Sri Lanka,South Africa,Sri Lanka,Sri Lanka,17 Runs,73 Runs,7 Wickets,2013
249,Sri Lanka,South Africa,South Africa,Sri Lanka,56 Runs,70 Runs,6 Wickets,2013
250,Sri Lanka,South Africa,Sri Lanka,Sri Lanka,8 Wickets,73 Runs,7 Wickets,2013
251,Sri Lanka,South Africa,Sri Lanka,Sri Lanka,128 Runs,73 Runs,7 Wickets,2013
252,England,Australia,Australia,England,88 Runs,54 Runs,5 Wickets,2013
253,England,Australia,England,England,3 Wickets,56 Runs,5 Wickets,2013
254,England,Australia,Australia,England,49 Runs,54 Runs,5 Wickets,2013
